Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
For cgas_-cgas_response in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - srq_-srq_total_cat
------------------------------------------------------
Category | Summary
--- | ---
0 | 230 (39.93)
1 | 346 (60.07)

For srq_-srq_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - srq_-srq_total_cat
----------------------------------------------------
Category | Summary
--- | ---
0 | 127 (43.20)
1 | 167 (56.80)
0 | 103 (36.52)
1 | 179 (63.48)

For srq_-srq_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - srq_-srq_total_cat
-----------------------------------------------------
Category | Summary
--- | ---
0 | 126 (44.21)
1 | 159 (55.79)
0 | 104 (35.74)
1 | 187 (64.26)

For srq_-srq_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - srq_-srq_total_cat
--------------------------------------------------------
Category | Summary
--- | ---
0 | 70 (46.98)
1 | 79 (53.02)
0 | 57 (39.31)
1 | 88 (60.69)
0 | 56 (41.18)
1 | 80 (58.82)
0 | 47 (32.19)
1 | 99 (67.81)

For srq_-srq_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - apq_-dsm5_total_cat
-------------------------------------------------------
Category | Summary
--- | ---
0 | 2 (0.35)
1 | 574 (99.65)

For apq_-dsm5_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - apq_-dsm5_total_cat
-----------------------------------------------------
Category | Summary
--- | ---
0 | 2 (0.68)
1 | 292 (99.32)
1 | 282 (100.00)

For apq_-dsm5_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - apq_-dsm5_total_cat
------------------------------------------------------
Category | Summary
--- | ---
0 | 1 (0.35)
1 | 284 (99.65)
0 | 1 (0.34)
1 | 290 (99.66)

For apq_-dsm5_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - apq_-dsm5_total_cat
---------------------------------------------------------
Category | Summary
--- | ---
0 | 1 (0.67)
1 | 148 (99.33)
0 | 1 (0.69)
1 | 144 (99.31)
1 | 136 (100.00)
1 | 146 (100.00)

For apq_-dsm5_total_cat in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the new_group breakdown.

9 Month Endpoint Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.48 [3.93] - 0.00-16.00
psc_-psc_total | 17.79 [9.17] - 0.00-41.00
rcads_-rcads_total | 13.77 [10.45] - 0.00-49.00
dsm5_-dsm5_total | 13.20 [11.74] - 0.00-65.00
somatic_-somatic_total | 3.68 [3.68] - 0.00-20.00
wemwbs_-wemwbs_total | 21.39 [4.91] - 7.00-33.00
ibs_-ibs_total | 1.07 [1.91] - 0.00-9.00
bbscq_-bbscq_total | 24.46 [4.19] - 8.00-30.00
self_stigma_-stgt_total | 0.32 [0.81] - 0.00-4.00
psychlops_post_-psy_total | 5.02 [4.41] - 0.00-17.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for overall analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (group)
--------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.33 [3.90] - 0.00-16.00
phq9a_-phq9a_total | 4.58 [3.96] - 0.00-16.00
psc_-psc_total | 16.90 [9.40] - 3.00-41.00
psc_-psc_total | 18.38 [9.02] - 0.00-41.00
rcads_-rcads_total | 12.93 [9.43] - 0.00-49.00
rcads_-rcads_total | 14.33 [11.08] - 0.00-48.00
dsm5_-dsm5_total | 12.30 [11.81] - 0.00-65.00
dsm5_-dsm5_total | 13.79 [11.73] - 0.00-44.00
somatic_-somatic_total | 3.97 [4.07] - 0.00-20.00
somatic_-somatic_total | 3.48 [3.41] - 0.00-16.00
wemwbs_-wemwbs_total | 22.52 [4.63] - 9.00-33.00
wemwbs_-wemwbs_total | 20.65 [4.97] - 7.00-33.00
ibs_-ibs_total | 0.92 [1.61] - 0.00-7.00
ibs_-ibs_total | 1.18 [2.09] - 0.00-9.00
bbscq_-bbscq_total | 25.30 [3.82] - 8.00-30.00
bbscq_-bbscq_total | 23.90 [4.35] - 8.00-30.00
self_stigma_-stgt_total | 0.22 [0.67] - 0.00-4.00
self_stigma_-stgt_total | 0.40 [0.89] - 0.00-4.00
psychlops_post_-psy_total | 5.00 [5.10] - 0.00-17.00
psychlops_post_-psy_total | 5.04 [3.94] - 0.00-15.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for overall analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (gender)
---------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 3.95 [3.73] - 0.00-16.00
phq9a_-phq9a_total | 4.86 [4.04] - 0.00-16.00
psc_-psc_total | 17.17 [9.03] - 3.00-41.00
psc_-psc_total | 18.24 [9.29] - 0.00-40.00
rcads_-rcads_total | 10.94 [9.56] - 0.00-49.00
rcads_-rcads_total | 15.81 [10.63] - 0.00-46.00
dsm5_-dsm5_total | 11.71 [11.65] - 0.00-65.00
dsm5_-dsm5_total | 14.26 [11.76] - 0.00-44.00
somatic_-somatic_total | 3.35 [3.80] - 0.00-20.00
somatic_-somatic_total | 3.91 [3.60] - 0.00-16.00
wemwbs_-wemwbs_total | 20.44 [5.30] - 7.00-31.00
wemwbs_-wemwbs_total | 22.07 [4.51] - 9.00-33.00
ibs_-ibs_total | 1.33 [2.24] - 0.00-9.00
ibs_-ibs_total | 0.89 [1.62] - 0.00-7.00
bbscq_-bbscq_total | 23.84 [4.16] - 8.00-29.00
bbscq_-bbscq_total | 24.90 [4.19] - 8.00-30.00
self_stigma_-stgt_total | 0.14 [0.40] - 0.00-2.00
self_stigma_-stgt_total | 0.45 [0.99] - 0.00-4.00
psychlops_post_-psy_total | 5.51 [4.67] - 0.00-17.00
psychlops_post_-psy_total | 4.63 [4.20] - 0.00-16.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for overall analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (new_group)
------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.06 [4.10] - 0.00-16.00
phq9a_-phq9a_total | 4.64 [3.69] - 0.00-16.00
phq9a_-phq9a_total | 3.84 [3.36] - 0.00-13.00
phq9a_-phq9a_total | 4.97 [4.22] - 0.00-16.00
psc_-psc_total | 17.25 [9.99] - 3.00-41.00
psc_-psc_total | 16.50 [8.84] - 3.00-40.00
psc_-psc_total | 17.10 [8.10] - 8.00-41.00
psc_-psc_total | 19.05 [9.46] - 0.00-39.00
rcads_-rcads_total | 12.16 [10.24] - 0.00-49.00
rcads_-rcads_total | 13.82 [8.50] - 0.00-32.00
rcads_-rcads_total | 9.68 [8.80] - 1.00-48.00
rcads_-rcads_total | 16.73 [11.43] - 0.00-46.00
dsm5_-dsm5_total | 12.72 [13.41] - 0.00-65.00
dsm5_-dsm5_total | 11.82 [9.89] - 0.00-38.00
dsm5_-dsm5_total | 10.68 [9.63] - 0.00-43.00
dsm5_-dsm5_total | 15.40 [12.45] - 0.00-44.00
somatic_-somatic_total | 3.81 [4.43] - 0.00-20.00
somatic_-somatic_total | 4.14 [3.68] - 0.00-13.00
somatic_-somatic_total | 2.87 [3.01] - 0.00-12.00
somatic_-somatic_total | 3.80 [3.59] - 0.00-16.00
wemwbs_-wemwbs_total | 21.78 [4.92] - 9.00-31.00
wemwbs_-wemwbs_total | 23.36 [4.19] - 16.00-33.00
wemwbs_-wemwbs_total | 19.06 [5.40] - 7.00-29.00
wemwbs_-wemwbs_total | 21.47 [4.56] - 9.00-33.00
ibs_-ibs_total | 1.03 [1.67] - 0.00-6.00
ibs_-ibs_total | 0.79 [1.55] - 0.00-7.00
ibs_-ibs_total | 1.65 [2.70] - 0.00-9.00
ibs_-ibs_total | 0.93 [1.67] - 0.00-7.00
bbscq_-bbscq_total | 24.59 [4.60] - 8.00-29.00
bbscq_-bbscq_total | 26.11 [2.51] - 20.00-30.00
bbscq_-bbscq_total | 23.06 [3.55] - 14.00-29.00
bbscq_-bbscq_total | 24.33 [4.69] - 8.00-30.00
self_stigma_-stgt_total | 0.12 [0.34] - 0.00-1.00
self_stigma_-stgt_total | 0.32 [0.90] - 0.00-4.00
self_stigma_-stgt_total | 0.16 [0.45] - 0.00-2.00
self_stigma_-stgt_total | 0.52 [1.03] - 0.00-4.00
psychlops_post_-psy_total | 5.43 [5.11] - 0.00-17.00
psychlops_post_-psy_total | 4.25 [5.21] - 0.00-16.00
psychlops_post_-psy_total | 5.62 [4.18] - 0.00-15.00
psychlops_post_-psy_total | 4.76 [3.86] - 0.00-11.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for overall analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (overall)
--------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.48 [3.93] - 0.00-16.00
psc_-psc_total | 17.79 [9.17] - 0.00-41.00
psc_-psc_int | 2.12 [2.03] - 0.00-8.00
psc_-psc_ext | 2.72 [1.77] - 0.00-7.00
psc_-psc_attn | 3.00 [2.53] - 0.00-10.00
rcads_-rcads_total | 13.77 [10.45] - 0.00-49.00
rcads_-rcads_anx_tot | 8.98 [6.69] - 0.00-30.00
rcads_-rcads_dep_tot | 4.79 [4.45] - 0.00-24.00
dsm5_-dsm5_total | 13.20 [11.74] - 0.00-65.00
dsm5_-dsm5_I_Som_Symp | 1.88 [1.98] - 0.00-8.00
dsm5_-dsm5_II_Slp_prb | 0.74 [1.06] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 0.91 [1.14] - 0.00-4.00
dsm5_-dsm5_IV_Dep | 1.75 [1.95] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.46 [1.87] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.40 [1.57] - 0.00-8.00
dsm5_-dsm5_VIII_Anx | 1.89 [2.47] - 0.00-12.00
dsm5_-dsm5_IX_Psychss | 0.22 [0.82] - 0.00-6.00
dsm5_-dsm5_X_Rpt_thts | 2.93 [3.19] - 0.00-14.00
dsm5_-dsm5_XI_Sbtncd | 0.01 [0.08] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.02 [0.14] - 0.00-1.00
somatic_-somatic_total | 3.68 [3.68] - 0.00-20.00
somatic_-somatic_item_01 | 0.39 [0.59] - 0.00-2.00
somatic_-somatic_item_02 | 0.42 [0.58] - 0.00-2.00
somatic_-somatic_item_03 | 0.72 [0.72] - 0.00-2.00
somatic_-somatic_item_04a | 0.40 [0.63] - 0.00-2.00
somatic_-somatic_item_04b | 0.46 [0.63] - 0.00-2.00
somatic_-somatic_item_04c | 0.24 [0.53] - 0.00-2.00
somatic_-somatic_item_04d | 0.26 [0.60] - 0.00-2.00
somatic_-somatic_item_04e | 0.24 [0.55] - 0.00-2.00
somatic_-somatic_item_04f | 0.27 [0.55] - 0.00-2.00
somatic_-somatic_item_04g | 0.15 [0.44] - 0.00-2.00
somatic_-somatic_item_04h | 0.12 [0.43] - 0.00-2.00
wemwbs_-wemwbs_total | 21.39 [4.91] - 7.00-33.00
wemwbs_-wemwbs_item_01 | 3.35 [0.97] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.15 [1.04] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.09 [1.05] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.11 [0.98] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.85 [1.02] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.89 [1.18] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.94 [1.07] - 1.00-5.00
spsi_-spsi_ppo | 6.23 [3.04] - 0.00-16.00
spsi_-spsi_npo | 5.16 [2.94] - 0.00-14.00
spsi_-spsi_rps | 6.02 [3.28] - 0.00-16.00
spsi_-spsi_ics | 7.36 [3.10] - 1.00-17.00
spsi_-spsi_as | 7.23 [3.31] - 0.00-16.00
bbscq_-bbscq_total | 24.46 [4.19] - 8.00-30.00
bbscq_-bbscq_relation | 9.24 [2.13] - 1.00-12.00
bbscq_-bbscq_belonging | 6.17 [1.33] - 2.00-8.00
bbscq_-bbscq_comitment | 3.83 [0.53] - 1.00-4.00
bbscq_-bbscq_participation | 5.23 [1.43] - 0.00-6.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for domain wise analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (group)
------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.33 [3.90] - 0.00-16.00
phq9a_-phq9a_total | 4.58 [3.96] - 0.00-16.00
psc_-psc_total | 16.90 [9.40] - 3.00-41.00
psc_-psc_total | 18.38 [9.02] - 0.00-41.00
psc_-psc_int | 2.02 [2.02] - 0.00-7.00
psc_-psc_int | 2.19 [2.05] - 0.00-8.00
psc_-psc_ext | 2.42 [1.65] - 0.00-6.00
psc_-psc_ext | 2.92 [1.83] - 0.00-7.00
psc_-psc_attn | 2.83 [2.60] - 0.00-10.00
psc_-psc_attn | 3.11 [2.48] - 0.00-10.00
rcads_-rcads_total | 12.93 [9.43] - 0.00-49.00
rcads_-rcads_total | 14.33 [11.08] - 0.00-48.00
rcads_-rcads_anx_tot | 8.62 [5.77] - 0.00-25.00
rcads_-rcads_anx_tot | 9.22 [7.25] - 0.00-30.00
rcads_-rcads_dep_tot | 4.32 [4.26] - 0.00-24.00
rcads_-rcads_dep_tot | 5.11 [4.57] - 0.00-18.00
dsm5_-dsm5_total | 12.30 [11.81] - 0.00-65.00
dsm5_-dsm5_total | 13.79 [11.73] - 0.00-44.00
dsm5_-dsm5_I_Som_Symp | 1.83 [2.01] - 0.00-8.00
dsm5_-dsm5_I_Som_Symp | 1.91 [1.98] - 0.00-8.00
dsm5_-dsm5_II_Slp_prb | 0.63 [0.94] - 0.00-4.00
dsm5_-dsm5_II_Slp_prb | 0.81 [1.13] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 0.73 [1.02] - 0.00-3.00
dsm5_-dsm5_III_Inattn | 1.03 [1.21] - 0.00-4.00
dsm5_-dsm5_IV_Dep | 1.65 [2.06] - 0.00-8.00
dsm5_-dsm5_IV_Dep | 1.81 [1.89] - 0.00-7.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.15 [1.72] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.66 [1.94] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.27 [1.60] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.48 [1.55] - 0.00-6.00
dsm5_-dsm5_VIII_Anx | 1.57 [2.23] - 0.00-10.00
dsm5_-dsm5_VIII_Anx | 2.10 [2.61] - 0.00-12.00
dsm5_-dsm5_IX_Psychss | 0.25 [0.91] - 0.00-5.00
dsm5_-dsm5_IX_Psychss | 0.20 [0.75] - 0.00-6.00
dsm5_-dsm5_X_Rpt_thts | 3.20 [3.30] - 0.00-14.00
dsm5_-dsm5_X_Rpt_thts | 2.75 [3.12] - 0.00-13.00
dsm5_-dsm5_XI_Sbtncd | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_XI_Sbtncd | 0.01 [0.10] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.02 [0.13] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.02 [0.15] - 0.00-1.00
somatic_-somatic_total | 3.97 [4.07] - 0.00-20.00
somatic_-somatic_total | 3.48 [3.41] - 0.00-16.00
somatic_-somatic_item_01 | 0.30 [0.59] - 0.00-2.00
somatic_-somatic_item_01 | 0.45 [0.58] - 0.00-2.00
somatic_-somatic_item_02 | 0.47 [0.62] - 0.00-2.00
somatic_-somatic_item_02 | 0.40 [0.56] - 0.00-2.00
somatic_-somatic_item_03 | 0.70 [0.74] - 0.00-2.00
somatic_-somatic_item_03 | 0.73 [0.70] - 0.00-2.00
somatic_-somatic_item_04a | 0.48 [0.62] - 0.00-2.00
somatic_-somatic_item_04a | 0.35 [0.64] - 0.00-2.00
somatic_-somatic_item_04b | 0.53 [0.65] - 0.00-2.00
somatic_-somatic_item_04b | 0.41 [0.61] - 0.00-2.00
somatic_-somatic_item_04c | 0.22 [0.49] - 0.00-2.00
somatic_-somatic_item_04c | 0.25 [0.55] - 0.00-2.00
somatic_-somatic_item_04d | 0.32 [0.62] - 0.00-2.00
somatic_-somatic_item_04d | 0.23 [0.58] - 0.00-2.00
somatic_-somatic_item_04e | 0.28 [0.61] - 0.00-2.00
somatic_-somatic_item_04e | 0.21 [0.51] - 0.00-2.00
somatic_-somatic_item_04f | 0.28 [0.52] - 0.00-2.00
somatic_-somatic_item_04f | 0.26 [0.57] - 0.00-2.00
somatic_-somatic_item_04g | 0.18 [0.50] - 0.00-2.00
somatic_-somatic_item_04g | 0.13 [0.40] - 0.00-2.00
somatic_-somatic_item_04h | 0.20 [0.55] - 0.00-2.00
somatic_-somatic_item_04h | 0.07 [0.33] - 0.00-2.00
wemwbs_-wemwbs_total | 22.52 [4.63] - 9.00-33.00
wemwbs_-wemwbs_total | 20.65 [4.97] - 7.00-33.00
wemwbs_-wemwbs_item_01 | 3.40 [0.99] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.32 [0.95] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.33 [1.04] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.03 [1.03] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.33 [1.02] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 2.93 [1.04] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.32 [0.91] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 2.98 [1.00] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.98 [1.05] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.76 [1.00] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 3.02 [1.26] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.81 [1.13] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 3.13 [1.03] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.81 [1.07] - 1.00-5.00
spsi_-spsi_ppo | 6.70 [3.07] - 2.00-16.00
spsi_-spsi_ppo | 5.91 [3.00] - 0.00-14.00
spsi_-spsi_npo | 5.68 [2.87] - 0.00-13.00
spsi_-spsi_npo | 4.81 [2.94] - 0.00-14.00
spsi_-spsi_rps | 6.55 [3.08] - 1.00-15.00
spsi_-spsi_rps | 5.67 [3.38] - 0.00-16.00
spsi_-spsi_ics | 8.08 [2.83] - 2.00-17.00
spsi_-spsi_ics | 6.88 [3.19] - 1.00-16.00
spsi_-spsi_as | 8.15 [3.42] - 2.00-16.00
spsi_-spsi_as | 6.63 [3.10] - 0.00-14.00
bbscq_-bbscq_total | 25.30 [3.82] - 8.00-30.00
bbscq_-bbscq_total | 23.90 [4.35] - 8.00-30.00
bbscq_-bbscq_relation | 9.52 [1.91] - 3.00-12.00
bbscq_-bbscq_relation | 9.05 [2.25] - 1.00-12.00
bbscq_-bbscq_belonging | 6.48 [1.11] - 4.00-8.00
bbscq_-bbscq_belonging | 5.96 [1.43] - 2.00-8.00
bbscq_-bbscq_comitment | 3.78 [0.58] - 1.00-4.00
bbscq_-bbscq_comitment | 3.86 [0.48] - 1.00-4.00
bbscq_-bbscq_participation | 5.52 [1.19] - 0.00-6.00
bbscq_-bbscq_participation | 5.03 [1.55] - 0.00-6.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for domain wise analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (gender)
-------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 3.95 [3.73] - 0.00-16.00
phq9a_-phq9a_total | 4.86 [4.04] - 0.00-16.00
psc_-psc_total | 17.17 [9.03] - 3.00-41.00
psc_-psc_total | 18.24 [9.29] - 0.00-40.00
psc_-psc_int | 1.78 [1.97] - 0.00-7.00
psc_-psc_int | 2.36 [2.05] - 0.00-8.00
psc_-psc_ext | 3.33 [1.61] - 1.00-7.00
psc_-psc_ext | 2.28 [1.76] - 0.00-7.00
psc_-psc_attn | 2.83 [2.42] - 0.00-10.00
psc_-psc_attn | 3.12 [2.61] - 0.00-10.00
rcads_-rcads_total | 10.94 [9.56] - 0.00-49.00
rcads_-rcads_total | 15.81 [10.63] - 0.00-46.00
rcads_-rcads_anx_tot | 6.97 [5.79] - 0.00-30.00
rcads_-rcads_anx_tot | 10.42 [6.94] - 0.00-29.00
rcads_-rcads_dep_tot | 3.97 [4.34] - 0.00-24.00
rcads_-rcads_dep_tot | 5.39 [4.46] - 0.00-17.00
dsm5_-dsm5_total | 11.71 [11.65] - 0.00-65.00
dsm5_-dsm5_total | 14.26 [11.76] - 0.00-44.00
dsm5_-dsm5_I_Som_Symp | 1.65 [1.98] - 0.00-8.00
dsm5_-dsm5_I_Som_Symp | 2.05 [1.98] - 0.00-8.00
dsm5_-dsm5_II_Slp_prb | 0.75 [1.06] - 0.00-4.00
dsm5_-dsm5_II_Slp_prb | 0.74 [1.07] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 0.76 [1.07] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 1.02 [1.18] - 0.00-4.00
dsm5_-dsm5_IV_Dep | 1.59 [1.99] - 0.00-8.00
dsm5_-dsm5_IV_Dep | 1.86 [1.92] - 0.00-6.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.27 [1.85] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.59 [1.88] - 0.00-6.00
dsm5_-dsm5_VII_Mania | 1.30 [1.64] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.47 [1.52] - 0.00-6.00
dsm5_-dsm5_VIII_Anx | 1.49 [2.09] - 0.00-10.00
dsm5_-dsm5_VIII_Anx | 2.17 [2.69] - 0.00-12.00
dsm5_-dsm5_IX_Psychss | 0.27 [0.90] - 0.00-5.00
dsm5_-dsm5_IX_Psychss | 0.18 [0.75] - 0.00-6.00
dsm5_-dsm5_X_Rpt_thts | 2.60 [3.19] - 0.00-14.00
dsm5_-dsm5_X_Rpt_thts | 3.16 [3.19] - 0.00-13.00
dsm5_-dsm5_XI_Sbtncd | 0.02 [0.13] - 0.00-1.00
dsm5_-dsm5_XI_Sbtncd | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_XII_Suic | 0.02 [0.13] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.02 [0.15] - 0.00-1.00
somatic_-somatic_total | 3.35 [3.80] - 0.00-20.00
somatic_-somatic_total | 3.91 [3.60] - 0.00-16.00
somatic_-somatic_item_01 | 0.32 [0.56] - 0.00-2.00
somatic_-somatic_item_01 | 0.44 [0.60] - 0.00-2.00
somatic_-somatic_item_02 | 0.37 [0.58] - 0.00-2.00
somatic_-somatic_item_02 | 0.47 [0.59] - 0.00-2.00
somatic_-somatic_item_03 | 0.52 [0.69] - 0.00-2.00
somatic_-somatic_item_03 | 0.85 [0.70] - 0.00-2.00
somatic_-somatic_item_04a | 0.38 [0.63] - 0.00-2.00
somatic_-somatic_item_04a | 0.42 [0.64] - 0.00-2.00
somatic_-somatic_item_04b | 0.41 [0.59] - 0.00-2.00
somatic_-somatic_item_04b | 0.49 [0.66] - 0.00-2.00
somatic_-somatic_item_04c | 0.24 [0.50] - 0.00-2.00
somatic_-somatic_item_04c | 0.24 [0.55] - 0.00-2.00
somatic_-somatic_item_04d | 0.24 [0.56] - 0.00-2.00
somatic_-somatic_item_04d | 0.28 [0.62] - 0.00-2.00
somatic_-somatic_item_04e | 0.27 [0.57] - 0.00-2.00
somatic_-somatic_item_04e | 0.22 [0.53] - 0.00-2.00
somatic_-somatic_item_04f | 0.25 [0.54] - 0.00-2.00
somatic_-somatic_item_04f | 0.28 [0.57] - 0.00-2.00
somatic_-somatic_item_04g | 0.19 [0.50] - 0.00-2.00
somatic_-somatic_item_04g | 0.12 [0.40] - 0.00-2.00
somatic_-somatic_item_04h | 0.16 [0.51] - 0.00-2.00
somatic_-somatic_item_04h | 0.09 [0.36] - 0.00-2.00
wemwbs_-wemwbs_total | 20.44 [5.30] - 7.00-31.00
wemwbs_-wemwbs_total | 22.07 [4.51] - 9.00-33.00
wemwbs_-wemwbs_item_01 | 3.14 [0.96] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.50 [0.95] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.03 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.24 [0.99] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 2.98 [1.08] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.17 [1.02] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.10 [0.96] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.12 [0.99] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.83 [1.02] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.86 [1.03] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.70 [1.24] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 3.03 [1.13] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.67 [1.15] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 3.14 [0.96] - 1.00-5.00
spsi_-spsi_ppo | 5.78 [3.08] - 0.00-16.00
spsi_-spsi_ppo | 6.55 [2.99] - 1.00-14.00
spsi_-spsi_npo | 5.10 [2.89] - 0.00-13.00
spsi_-spsi_npo | 5.20 [2.98] - 0.00-14.00
spsi_-spsi_rps | 5.32 [3.27] - 0.00-13.00
spsi_-spsi_rps | 6.52 [3.22] - 0.00-16.00
spsi_-spsi_ics | 7.29 [3.22] - 1.00-17.00
spsi_-spsi_ics | 7.41 [3.03] - 1.00-15.00
spsi_-spsi_as | 6.83 [3.58] - 0.00-16.00
spsi_-spsi_as | 7.52 [3.09] - 1.00-16.00
bbscq_-bbscq_total | 23.84 [4.16] - 8.00-29.00
bbscq_-bbscq_total | 24.90 [4.19] - 8.00-30.00
bbscq_-bbscq_relation | 9.10 [1.82] - 3.00-12.00
bbscq_-bbscq_relation | 9.34 [2.32] - 1.00-12.00
bbscq_-bbscq_belonging | 5.97 [1.39] - 2.00-8.00
bbscq_-bbscq_belonging | 6.31 [1.28] - 3.00-8.00
bbscq_-bbscq_comitment | 3.75 [0.67] - 1.00-4.00
bbscq_-bbscq_comitment | 3.89 [0.38] - 2.00-4.00
bbscq_-bbscq_participation | 5.03 [1.58] - 0.00-6.00
bbscq_-bbscq_participation | 5.36 [1.31] - 0.00-6.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for domain wise analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (new_group)
----------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.06 [4.10] - 0.00-16.00
phq9a_-phq9a_total | 4.64 [3.69] - 0.00-16.00
