form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,A,3,298,38,12.75
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,A,4,298,9,3.02
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,A,5,298,3,1.01
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,B,1,295,170,57.63
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,B,2,295,83,28.14
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,B,3,295,35,11.86
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,group,B,4,295,7,2.37
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,gender,Boys,1,295,173,58.64
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,gender,Boys,2,295,91,30.85
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat,categorical,gender,Boys,3,295,24,8.14
