form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,n,mean,sd,min,max,min_max
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,new_group,B_Boys,17,9.65,6.95,2.00,27.00,2.00-27.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,new_group,B_Girls,52,15.33,11.97,0.00,44.00,0.00-44.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,overall,overall,113,3.72,3.76,0.00,20.00,0.00-20.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,group,A,44,3.82,4.24,0.00,20.00,0.00-20.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,group,B,69,3.65,3.45,0.00,16.00,0.00-16.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,gender,Boys,48,3.48,3.95,0.00,20.00,0.00-20.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,gender,Girls,65,3.89,3.63,0.00,16.00,0.00-16.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,new_group,A_Boys,31,3.87,4.49,0.00,20.00,0.00-20.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,new_group,A_Girls,13,3.69,3.75,0.00,13.00,0.00-13.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,new_group,B_Boys,17,2.76,2.68,0.00,9.00,0.00-9.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,somatic_-somatic_total,continuous,new_group,B_Girls,52,3.94,3.64,0.00,16.00,0.00-16.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,overall,overall,113,21.62,4.58,9.00,33.00,9.00-33.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,group,A,44,22.16,4.57,9.00,31.00,9.00-31.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,group,B,69,21.28,4.58,9.00,33.00,9.00-33.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,gender,Boys,48,21.42,4.91,9.00,31.00,9.00-31.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,gender,Girls,65,21.77,4.35,9.00,33.00,9.00-33.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,new_group,A_Boys,31,21.90,4.96,9.00,31.00,9.00-31.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,new_group,A_Girls,13,22.77,3.59,17.00,29.00,17.00-29.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,new_group,B_Boys,17,20.53,4.85,13.00,29.00,13.00-29.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,wemwbs_-wemwbs_total,continuous,new_group,B_Girls,52,21.52,4.51,9.00,33.00,9.00-33.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,ibs_-ibs_total,continuous,overall,overall,113,1.01,1.70,0.00,8.00,0.00-8.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,ibs_-ibs_total,continuous,group,A,44,1.07,1.76,0.00,7.00,0.00-7.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,ibs_-ibs_total,continuous,group,B,69,0.97,1.67,0.00,8.00,0.00-8.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,ibs_-ibs_total,continuous,gender,Boys,48,1.12,1.81,0.00,8.00,0.00-8.00
